forecast_origin,horizon,Output growth rate,Consumption growth rate,Investment growth rate,log Hours worked,Inflation,Wage growth rate,Federal funds rate
51,16,0.300243761919858,0.403453972834889,0.100830119266634,0.209333414657991,0.489109521819297,0.322770371536575,1.0785216706777
52,1,-0.0166784238229536,0.515243057356042,-1.34059197576927,1.05151090541236,0.602053707063161,0.167299433533166,0.920176952512932
52,2,-0.0128705908678977,0.242884511470058,-0.57021070695675,0.965636405053422,0.681578947957708,0.112743386564222,0.939652419920967
52,3,0.0222071178363074,0.119656210513546,-0.0851628643084724,0.901771026688386,0.69812170134222,0.0778993362050807,0.967120468170953
52,4,0.0543537401563114,0.0655737322735898,0.193167928558865,0.855170879434437,0.688945256374186,0.0606987647111311,0.995802531508641
52,5,0.0776189321278072,0.0463873706245987,0.334876312253276,0.817892065038661,0.668242561124942,0.0563335324690707,1.02270866086365
52,6,0.0942419194786318,0.046546425620437,0.392406057521254,0.784307941164339,0.642482170710993,0.0607904050095343,1.04660055119145
52,7,0.107642208010027,0.0582693141304046,0.401734712081165,0.751686039307785,0.615167780781042,0.0711893551193841,1.06709435707691
52,8,0.120378465603662,0.0771316250523395,0.386133052014135,0.719404735961798,0.588411317012481,0.0855139105542865,1.08423911417158
52,9,0.133861733332844,0.10028000617681,0.359877039863164,0.688033516283734,0.563520971867439,0.102330360081329,1.09830384916941
52,10,0.14859457046601,0.125699790845666,0.331203458116429,0.658624670738018,0.541269284734425,0.120592454772944,1.10966183334193
52,11,0.164495862267945,0.151903419518186,0.304461471013457,0.632259558937338,0.522047114202072,0.139519518404523,1.11872357927171
52,12,0.18117364287254,0.177785601626915,0.281602730327528,0.609801909740145,0.505969635612067,0.158522558427806,1.1258966130807
52,13,0.198118443711751,0.202543832578566,0.26317774726559,0.591795768426598,0.492956891955287,0.177158796339429,1.13156138953572
52,14,0.214825642081561,0.225624385122316,0.248981390338616,0.578454506435612,0.482797355406175,0.195102130011638,1.13605770722642
52,15,0.230863874657863,0.246678633232084,0.238456534352673,0.569701009589606,0.475198251116379,0.212122195655231,1.13967826946411
52,16,0.245905895169276,0.265524430916203,0.230934942017237,0.565231647441196,0.469824779912716,0.22806798029585,1.14266716550771
53,1,-0.112263892583032,0.334238426484101,-1.00323367952622,0.682231014047695,0.669943294963099,0.261501371628307,0.698336580921107
53,2,0.3374256412958,0.543914836516798,0.177210667111253,0.810604514764178,0.797246388754016,0.260890056765118,0.723051127194476
53,3,0.439905231053489,0.491753189977867,0.706906795822757,1.00079217314668,0.853627873356773,0.237774353576362,0.769639405298345
53,4,0.414759730611164,0.379166953217637,0.899486740046094,1.1648928596262,0.871027771729227,0.213127272626549,0.821644436653067
53,5,0.350946989938555,0.274325205925448,0.918077395670083,1.27621972803007,0.863754827701726,0.193326780850175,0.871859293660182
53,6,0.284831968895322,0.196585257442409,0.852199634931839,1.33320911384934,0.840367057939244,0.180079879596779,0.917152449391242
53,7,0.230631519796671,0.147853526091888,0.752192952597064,1.34414201694194,0.807007005864452,0.173494474203947,0.956321048162687
53,8,0.192772982809259,0.1242383918224,0.646064423001447,1.32037412095617,0.768362501785378,0.173052399213268,0.989144163729436
53,9,0.171212585207777,0.120370286719052,0.548546741635077,1.27324781572463,0.72799501785978,0.177949836511197,1.01592611916192
53,10,0.163899876113066,0.130982445330203,0.466376103902095,1.2127144832113,0.688514293427915,0.187249183937204,1.0372508999804
53,11,0.16800837513619,0.151459012978785,0.40154314639647,1.14680883530783,0.651722179198301,0.199971079242781,1.05383609913915
53,12,0.180583270322609,0.177986798767176,0.353353729438058,1.08156825606934,0.618751098320924,0.215160725987027,1.06644018178264
